Case Number,Date,Year,Type,Country,Area,Activity,Age,Fatal (Y/N),Sex,Month
2014.10.07,07-Oct-2014,2014,Unprovoked,USA,Florida,Fishing,40,N,F,Oct
2014.10.05.a,05-Oct-2014,2014,Unprovoked,USA,Florida,Surfing,15,N,M,Oct
2014.10.02.b,02-Oct-2014,2014,Unprovoked,USA,California,Surfing,28,N,M,Oct
2014.10.02.a,02-Oct-2014,2014,Unprovoked,AUSTRALIA,Western Australia,Surfing,23,N,M,Oct
2014.09.09,09-Sep-2014,2014,Unprovoked,AUSTRALIA,New South Wales,Swimming,50,Y,M,Sep
2014.09.06,06-Sep-2014,2014,Unprovoked,USA,Alabama,Fishing ,43,N,M,Sep
2014.09.02,02-Sep-2014,2014,Provoked,USA,Florida,Fishing,52,N,M,Sep
2014.08.31,31-Aug-2014,2014,Unprovoked,USA,Florida,Body surfing,13,N,F,Aug
2014.08.29.b,29-Aug-2014,2014,Unprovoked,USA,Florida,Surfing,17,N,M,Aug
2014.08.28,28-Aug-2014,2014,Provoked,USA,Maryland,Fishing,33,N,M,Aug
2014.08.27.b,27-Aug-2014,2014,Unprovoked,USA,North Carolina,Surfing,29,N,M,Aug
2014.08.16,16-Aug-2014,2014,Unprovoked,AUSTRALIA,Western Australia,Spearfishing,31,N,M,Aug
2014.08.09,09-Aug-2014,2014,Unprovoked,USA,Florida,Swimming,10,N,F,Aug
2014.08.06,06-Aug-2014,2014,Unprovoked,USA,South Carolina,Boogie boarding,10,N,M,Aug
2014.08.05,05-Aug-2014,2014,Unprovoked,USA,Florida,Swimming,45,N,F,Aug
2014.08.01,01-Aug-2014,2014,Unprovoked,SOUTH AFRICA,Western Cape Province,Surfing,20,N,M,Aug
2014.07.22,22-Jul-2014,2014,Unprovoked,REUNION,Saint-Leu,Surfing,51,N,M,Jul
2014.07.16,16-Jul-2014,2014,Unprovoked,USA,Hawaii,Swimming,61,N,M,Jul
2014.07.14,14-Jul-2014,2014,Unprovoked,USA,Florida,Swimming,39,N,M,Jul
2014.07.09,9-Jul-2014,2014,Unprovoked,USA,Florida,Surfing,14,N,M,Jul
2014.07.03,3-Jul-2014,2014,Unprovoked,USA,South Carolina,Body surfing,19,N,M,Jul
2014.06.25,25-Jun-2014,2014,Unprovoked,BAHAMAS,Abaco Islands,Spearfishing,42,N,M,Jun
2014.06.18.a,18-Jun-2014,2014,Unprovoked,AUSTRALIA,South Australia,Body boarding,15,N,M,Jun
2014.06.09.c,09-Jun-2014,2014,Unprovoked,BRAZIL,unknown,Fishing,43,N,M,Jun
2014.06.09.b,09-Jun-2014,2014,Unprovoked,USA,Delaware,Standing,16,N,M,Jun
2014.06.09.a,09-Jun-2014,2014,Unprovoked,AUSTRALIA,South Australia,Body boarding,39,N,M,Jun
2014.06.08,08-Jun-2014,2014,Unprovoked,JAPAN,Atsumi peninsula,Surfing,43,N,M,Jun
2014.06.01.c,01-Jun-2014,2014,Unprovoked,USA,Florida,Swimming,22,N,F,Jun
2014.05.15,15-May-2014,2014,Unprovoked,USA,Florida,Body boarding,38,N,F,May
2014.05.14,14-May-2014,2014,Unprovoked,AUSTRALIA,South Australia,Surfing,35,N,M,May
2014.05.13,13-May2014,2014,Unprovoked,USA,Florida,Wading,44,N,F,May
2014.05.11,11-May-2014,2014,Unprovoked,USA,Georgia,Surfing,12,N,M,May
2014.05.06,06-May-2014,2014,Unprovoked,USA,South Carolina,Swimming,40,N,F,May
2014.05.01,01-May-2014,2014,Unprovoked,USA,Florida,Surfing,23,N,M,May
2014.04.22,22-Apr-2014,2014,Unprovoked,USA,Florida,Swimming,42,N,unknown,Apr
2014.04.15,15-Apr-2014,2014,Unprovoked,USA,Florida,Wading,25,N,M,Apr
2014.04.03,03-Apr-2014,2014,Unprovoked,AUSTRALIA,New South Wales,Swimming,63,Y,F,Apr
2014.03.22.b,22-Mar-2014,2014,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Swimming,66,Y,M,Mar
2014.03.18.c,18-Mar-2014,2014,Unprovoked,NEW CALEDONIA,Baie de Sainte-Marie,Kite Surfing,42,N,M,Mar
2014.03.18.b,18-Mar-2014,2014,Unprovoked,AUSTRALIA,Victoria,Surfing,42,N,M,Mar
2014.03.02,02-Mar-2014,2014,Unprovoked,USA,Florida,Surfing,21,N,M,Mar
2014.02.07,07-Feb-2014,2014,Unprovoked,NEW ZEALAND,South Island,Surfing,28,N,M,Feb
2014.01.25,25-Jan-2014,2014,Unprovoked,NEW ZEALAND,South Island,Spearfishing,24,N,M,Jan
2014.01.04,04-Jan-2014,2014,Sea Disaster,JAPAN,Okinawa Prefecture,Sea disaster,31,N,M,Jan
2013.12.25,25-Dec-2013,2013,Unprovoked,NEW CALEDONIA,North Province,Snorkeling,37,N,M,Dec
2013.12.16,16-Dec-2013,2013,Unprovoked,SOUTH AFRICA,Western Cape Province,Surfing,19,N,M,Dec
2013.12.11,11-Dec-2013,2013,Unprovoked,USA,Hawaii,Boogie boarding,29,N,M,Dec
2013.12.10,10-Dec-2013,2013,Unprovoked,USA,Florida,Surfing,30,N,M,Dec
2013.12.05,05-Dec-2013,2013,Unprovoked,AUSTRALIA,New South Wales,Surfing,26,N,M,Dec
2013.11.30,30-Nov-2013,2013,Unprovoked,AUSTRALIA,New South Wales,Body boarding,19,Y,M,Nov
2013.11.29,29-Nov2013,2013,Unprovoked,USA,Hawaii,Snorkeling,58,N,F,Nov
2013.11.23.a,23-Nov-2013,2013,Unprovoked,AUSTRALIA,Western Australia,Surfing,35,Y,M,Nov
2013.11.22,22-Nov-2013,2013,Unprovoked,USA,Oregon,Surfing,25,N,M,Nov
2013.11.10,10-Nov-2013,2013,Provoked,BAHAMAS,unknown,Shark fishing,77,N,M,Nov
2013.11.07.b,07-Nov-2013,2013,Unprovoked,USA,New Jersey,Body boarding,16,N,M,Nov
2013.10.28,28-Oct-2013,2013,Unprovoked,AUSTRALIA,Western Australia,Snorkeling,60,N,F,Oct
2013.10.26.b,26-Oct-2013,2013,Unprovoked,REUNION,d’Étang-Salé,Body boarding,24,N,M,Oct
2013.10.24,24-Oct-2013,2013,Unprovoked,AUSTRALIA,New South Wales,Surfing,41,N,M,Oct
2013.10.20,20-Oct-2013,2013,Unprovoked,USA,Hawaii,Surfing,25,N,M,Oct
2013.10.05,06-Oct-2013,2013,Unprovoked,USA,California,Surfing,45,N,M,Oct
2013.10.05,10-Oct-2013,2013,Unprovoked,USA,Florida,Wading,12,N,M,Oct
2013.09.29.b,29-Sep-2013,2013,Unprovoked,USA,Florida,Surfing,50,N,M,Sep
2013.09.29.a,29-Sep-2013,2013,Unprovoked,ISRAEL,Southern District,Diving,27,N,M,Sep
2013.09.21.b, 21-Sep-2013,2013,Unprovoked,USA,Florida,Swimming,45,N,M,Sep
2013.09.14, 14-Sep-2013,2013,Unprovoked,USA,Florida,Swimming,21,N,M,Sep
2013.09.12, 12-Sep-2013,2013,Unprovoked,USA,Florida,Surfing,13,N,F,Sep
2013.09.07.b, 07-Sep-2013,2013,Provoked,USA,Florida,Surfing,43,N,M,Sep
2013.09.07.a, 07-Sep-2013,2013,Unprovoked,USA,Florida,Standing,25,N,M,Sep
2013.09.02, 02-Sep-2013,2013,Unprovoked,USA,Florida,Swimming,17,N,M,Sep
2013.08.25.b, 25-Aug-2013,2013,Unprovoked,USA,Florida,Boogie boarding,11,N,F,Aug
2013.08.18, 18-Aug-2013,2013,Unprovoked,USA,Hawaii,Surfing,16,N,M,Aug
2013.08.14, 14-Aug-2013,2013,Unprovoked,USA,Hawaii,Snorkeling,20,Y,F,Aug
2013.08.11,11-Aug-2013,2013,Unprovoked,USA,South Carolina,Surfing,10,N,M,Aug
2013.08.05, 05-Aug-2013,2013,Unprovoked,USA,Florida,Fishing,17,N,M,Aug
2013.07.31,  31-Jul-2013,2013,Unprovoked,USA,Hawaii,Snorkeling,56,N,F,Jul
2013.07.30,  30-Jul-2013,2013,Unprovoked,USA,South Carolina,Swimming,32,N,M,Jul
2013.07.29.c,28-Jul-2013,2013,Unprovoked,BAHAMAS,Abaco Islands,Spearfishing,40,N,M,Jul
2013.07.29.a,  29-Jul-2013,2013,Unprovoked,USA,Hawaii,Surfing,18,N,M,Jul
2013.07.28.a,28-Jul-2013,2013,Unprovoked,BAHAMAS,Abaco Islands,Diving,50,N,M,Jul
2013.07.22,    22-Jul-2013,2013,Unprovoked,BRAZIL,Pernambuco,Swimming,18,Y,F,Jul
2013.07.14,14-Jul-2013,2013,Unprovoked,DIEGO GARCIA,unknown,Swimming,33,Y,M,Jul
2013.07.11,11-Jul-2013,2013,Unprovoked,USA,North Carolina,Wading,63,N,F,Jul
2013.07.02,02-Jul-2013,2013,Unprovoked,AUSTRALIA,Victoria,Body surfing,29,N,M,Jul
2013.06.25.a,25-Jun-2013,2013,Unprovoked,USA,South Carolina,Swimming,14,N,M,Jun
2013.06.18,18-Jun-2013,2013,Unprovoked,USA,Hawaii,Swimming,28,N,M,Jun
2013.06.17,17-Jun-2013,2013,Unprovoked,USA,Texas,Swimming,15,N,M,Jun
2013.06.14.R,Reported 14-Jun-2013,2013,Unprovoked,USA,South Carolina,Boogie Boarding,10,N,F,Jun
2013.06.06.b,06-Jun-2013,2013,Provoked,USA,Florida,Fishing for sharks,58,N,M,Jun
2013.05.27.b,27-May-2013,2013,Unprovoked,USA,Hawaii,Diving,32,N,M,May
2013.05.27.a,27-May-2013,2013,Unprovoked,USA,Florida,Swimming,11,N,M,May
2013.05.23.a,23-May-2013,2013,Provoked,PALESTINIAN TERRITORIES,unknown,Fishing,30,N,M,May
2013.05.14,14-May-2014,2013,Unprovoked,ECUADOR,Santa Cruz Island,Surfing,29,N,M,May
2013.05.08.a,08-May-2013,2013,Unprovoked,REUNION,Saint-Gilles,Body boarding,36,Y,M,May
2013.05.04.a,04-May-2013,2013,Unprovoked,USA,Florida,Surfing,16,N,M,May
2013.04.24,24-Apr-2013,2013,Unprovoked,MEXICO,Quintana Roo,Swimming,34,N,F,Apr
2013.04.21,21-Apr-2013,2013,Unprovoked,AUSTRALIA,New South Wales,Fishing,51,N,M,Apr
2013.04.13.b,13-Apr-2013,2013,Unprovoked,USA,Florida,Surfing,21,N,M,Apr
2013.04.04,04-Apr-2013,2013,Unprovoked,USA,Florida,Swimming,50,N,M,Apr
2013.04.02.a,02-Apr-2013,2013,Unprovoked,USA,Hawaii,Surfing,58,N,M,Apr
2013.03.29,29-Mar-2013,2013,Unprovoked,SEYCHELLES,unknown,Free diving,34,N,M,Mar
2013.03.12,12-Mar-2013,2013,Unprovoked,JAMAICA,St. Catherine,Spearfishing,68,Y,M,Mar
2013.03.10.b,10-Mar-2013,2013,Unprovoked,AUSTRALIA,Western Australia,Spearfishing,28,N,M,Mar
2013.03.03,03-Mar-2013,2013,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Swimming,39,N,M,Mar
2013.02.27,27-Feb-2013,2013,Unprovoked,NEW ZEALAND,North Island,Swimming,46,Y,M,Feb
2013.02.10,10-Feb-2013,2013,Unprovoked,USA,Florida,Surfing,16,N,M,Feb
2013.02.09,09-Feb-2013,2013,Unprovoked,FRENCH POLYNESIA,Society Islands,Scuba diving,48,N,M,Feb
2013.01.16,16-Jan-2013,2013,Unprovoked,USA,Hawaii,Surfing,43,N,M,Jan
2012.12.30,30-Dec-2012,2012,Unprovoked,AUSTRALIA,New South Wales,Surfing,23,N,M,Dec
2012.12.28,28-Dec-2012,2012,Unprovoked,AUSTRALIA,New South Wales,Paddle boarding,29,N,M,Dec
2012.12.25,25-Dec-2012,2012,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Swimming,20,Y,M,Dec
2012.12.19,19-Dec-2012,2012,Unprovoked,AUSTRALIA,Western Australia,Surfing,32,N,M,Dec
2012.12.05,05-Dec-2012,2012,Unprovoked,USA,Hawaii,Surfing,60,N,M,Dec
2012.12.02,02-Dec-2012,2012,Unprovoked,AUSTRALIA,New South Wales,Spearfishing,31,N,M,Dec
2012.11.30,30-Nov-2012,2012,Unprovoked,USA,Hawaii,Snorkeling,61,N,M,Nov
2012.11.22,22-Nov-2012,2012,Unprovoked,MEXICO,Sinaloa,Swimming,32,Y,M,Nov
2012.11.19,19-Nov-2012,2012,Unprovoked,USA,Florida,Surfing,14,N,M,Nov
2012.11.04.b,04-Nov-2012,2012,Unprovoked,USA,Hawaii,Diving,30,N,M,Nov
2012.11.04.a,04-Nov-2012,2012,Unprovoked,USA,Hawaii,Surfing,43,N,M,Nov
2012.10.30,30-Oct-2012,2012,Unprovoked,USA,California,Surfing,25,N,M,Oct
2012.10.27,27-Oct-2012,2012,Unprovoked,USA,Hawaii,Swimming,51,N,F,Oct
2012.10.23,23-Oct-2012,2012,Unprovoked,USA,California,Surfing,39,Y,M,Oct
2012.10.18.b,18-Oct-2012,2012,Unprovoked,USA,Florida,Surfing,24,N,M,Oct
2012.10.18.a,18-Oct-2012,2012,Unprovoked,USA,Hawaii,Paddle boarding,55,N,M,Oct
2012.10.11.R,Reported 11-Oct-2012,2012,Unprovoked,NIGERIA,Delta,Bathing,38,N,F,Oct
2012.10.07,10-Oct-2012,2012,Unprovoked,USA,California,Windsurfing,42,N,M,Oct
2012.09.25,25-Sep-2012,2012,Unprovoked,USA,Florida,Surfing,21,N,M,Sep
2012.09.24,24-Sep-2012,2012,Unprovoked,USA,Florida,Surfing,22,N,M,Sep
2012.09.16,16-Sep-2012,2012,Unprovoked,USA,Florida,Surfing,52,N,M,Sep
2012.09.10,10-Sep-2012,2012,Unprovoked,TONGA,Vava'u,Swimming,29,N,F,Sep
2012.09.09,09-Sep-2012,2012,Unprovoked,USA,Florida,Surfing,19,N,unknown,Sep
2012.09.08.b,08-Sep-2012,2012,Unprovoked,USA,Florida,Surfing,25,N,M,Sep
2012.09.06.a,06-Sep-2012,2012,Unprovoked,USA,Florida,Surfing,37,N,M,Sep
2012.09.04,04-Sep-2012,2012,Unprovoked,USA,Florida,Surfing,32,N,M,Sep
2012.08.31,31-Aug-2012,2012,Provoked,SCOTLAND,Inner Hebrides,Shark fishing,53,N,M,Aug
2012.08.28,28-Aug-2012,2012,Unprovoked,AUSTRALIA,Western Australia,Surfing,34,N,M,Aug
2012.08.26,26-Aug-2012,2012,Unprovoked,BRAZIL,Pernambuco,Swimming,18,Y,M,Aug
2012.08.05,06-Aug-2012,2012,Unprovoked,REUNION,Saint Leu,Surfing,39,N,M,Aug
2012.07.31.b,31-Jul-2012,2012,Unprovoked,USA,California,Surfing,17,N,M,Jul
2012.07.31.a,31-Jul-2012,2012,Unprovoked,AUSTRALIA,South Australia,Surfing,48,N,M,Jul
2012.07.30.b,30-Jul-2012,2012,Unprovoked,USA,Hawaii,Surfing,44,N,M,Jul
2012.07.30.a,30-Jul-2012,2012,Unprovoked,USA,Massachusetts,Body surfing,50,N,M,Jul
2012.07.23,23-Jul-2012,2012,Unprovoked,REUNION,Trois-Bassins,Surfing,22,Y,M,Jul
2012.07.14,14-Jul-2012,2012,Unprovoked,AUSTRALIA,Western Australia,Surfing,24,Y,M,Jul
2012.07.08,08-Jul-2012,2012,Unprovoked,USA,North Carolina,Swimming,43,N,F,Jul
2012.07.07.a,07-Jul-2012,2012,Boating,USA,California,Kayaking,52,N,M,Jul
2012.07.06,06-Jul-2012,2012,Unprovoked,SOUTH AFRICA,Western Cape Province,Surfing,29,N,M,Jul
2012.06.26.b,26-Jun-2012,2012,Unprovoked,USA,Florida,Surfing,26,N,M,Jun
2012.06.22.a,22-Jun-2012,2012,Unprovoked,USA,Florida,Swimming,12,N,M,Jun
2012.06.20,20-Jun-2012,2012,Unprovoked,AUSTRALIA,Western Australia,Surf skiing ,62,N,M,Jun
2012.06.15,15-Jun-2012,2012,Provoked,USA,Florida,Fishing,23,N,M,Jun
2012.06.14.d,14-Jun-2012,2012,Unprovoked,USA,South Carolina,Swimming,18,N,F,Jun
2012.06.14.a,14-Jun-2012,2012,Unprovoked,USA,South Carolina,Swimming,16,N,M,Jun
2012.06.12,12-Jun-2012,2012,Unprovoked,AUSTRALIA,Victoria,Surfing,42,N,M,Jun
2012.06.03,03-Jun-2012,2012,Unprovoked,AUSTRALIA,New South Wales,Surf skiing ,30,N,M,Jun
2012.06.02.b,02-Jun-2012,2012,Unprovoked,USA,Florida,Surfing,12,N,F,Jun
2012.06.02.a,02-Jun-2012,2012,Unprovoked,USA,South Carolina,Boogie Boarding,25,N,M,Jun
2012.05.31,31-May-2012,2012,Unprovoked,USA,North Carolina,Wading,33,N,F,May
2012.05.23,23-May-2012,2012,Unprovoked,USA,Florida,Surfing,22,N,M,May
2012.05.16,16-May-2012,2012,Unprovoked,FIJI,unknown,Spearfishing,20,N,M,May
2012.05.09,09-May-2012,2012,Unprovoked,USA,Florida,Swimming,47,N,F,May
2012.05.06,06-May-2012,2012,Unprovoked,USA,California,Paddle boarding,15,N,F,May
2012.04.19.b,19-Apr-2012,2012,Unprovoked,USA,Florida,Surfing,28,N,M,Apr
2012.04.19.a,19-Apr-2012,2012,Unprovoked,SOUTH AFRICA,Western Cape Province,Body boarding,20,Y,M,Apr
2012.04.11,11-Apr-2012,2012,Boating,AUSTRALIA,South Australia,Kayaking,27,N,M,Apr
2012.04.03,03-Apr-2012,2012,Unprovoked,USA,Hawaii,Surfing,28,N,M,Apr
2012.03.31,31-Mar-2012,2012,Unprovoked,AUSTRALIA,Western Australia,Scuba diving,33,Y,M,Mar
2012.03.24,24-Mar-2012,2012,Unprovoked,USA,Florida,Surfing,21,N,M,Mar
2012.03.20,20-Mar-2012,2012,Unprovoked,AUSTRALIA,Queensland,Surfing,20,N,M,Mar
2012.03.15,15-Mar-2012,2012,Unprovoked,USA,Florida,Surfing,61,N,M,Mar
2012.03.14.b,14-Mar-2012,2012,Unprovoked,USA,Florida,Surfing,15,N,F,Mar
2012.03.14.a,14-Mar-2012,2012,Unprovoked,USA,Florida,Surfing,17,N,M,Mar
2012.03.05,05-Mar-2012,2012,Unprovoked,REUNION,Saint-Benoit,Body boarding,31,N,M,Mar
2012.03.04,04-Mar-2012,2012,Unprovoked,USA,Florida,Kite Surfing,19,N,M,Mar
2012.02.06,06-Feb-2012,2012,Unprovoked,AUSTRALIA,Queensland,Surfing,29,N,M,Feb
2012.01.19,19-Jan-2012,2012,Unprovoked,AUSTRALIA,Western Australia,Snorkeling,26,N,M,Jan
2012.01.18.b,18-Jan-2012,2012,Provoked,TAIWAN,Taitung ,Fishing,24,N,M,Jan
2012.01.18.a,18-Jan-2012,2012,Unprovoked,AUSTRALIA,New South Wales,Surfing,44,N,M,Jan
2012.01.15,15-Jan-2012,2012,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Swimming,25,Y,M,Jan
2012.01.13,13-Jan-2012,2012,Unprovoked,USA,Oregon,Surfing,53,N,M,Jan
2012.01.03,03-Jan-2012,2012,Unprovoked,AUSTRALIA,New South Wales,Surfing,28,N,M,Jan
2012.01.02,02-Jan-2012,2012,Unprovoked,AUSTRALIA,Queensland,Spearfishing,34,N,M,Jan
2011.12.25,25-Dec-2011,2011,Unprovoked,ECUADOR,Santa Elena,Surfing,23,N,M,Dec
2011.12.23,23-Dec-2011,2011,Unprovoked,USA,Florida,Surfing,27,N,M,Dec
2011.12.21.a,21-Dec-2011,2011,Boating,SOUTH AFRICA,Eastern Cape Province,Kayak Fishing,35,N,M,Dec
2011.12.11,11-Dec-2011,2011,Unprovoked,AUSTRALIA,New South Wales,Surfing,51,N,M,Dec
2011.12.07.a,07-Dec-2011,2011,Unprovoked,AUSTRALIA,New South Wales,Surfing,14,N,M,Dec
2011.12.02,02-Dec-2011,2011,Unprovoked,AUSTRALIA,New South Wales,Surfing,63,N,M,Dec
2011.11.29,29-Nov-2011,2011,Unprovoked,INDONESIA,Bali,Surfing,18,N,M,Nov
2011.11.28,28-Nov-2011,2011,Unprovoked,AUSTRALIA,Queensland,Swimming,10,N,M,Nov
2011.11.12,12-Nov-2011,2011,Unprovoked,BRAZIL,Pernambuco,Surfing,35,N,M,Nov
2011.10.29.,  29-Oct-2011,2011,Unprovoked,USA,California,Surfing,27,N,M,Oct
2011.10.28.R,Reported 28-Oct-2011,2011,Unprovoked,SCOTLAND,Moray,Surfing,26,N,M,Oct
2011.10.22,22-Oct-2011,2011,Unprovoked,AUSTRALIA,Western Australia,Diving,32,Y,M,Oct
2011.10.20,20-Oct-2011,2011,Unprovoked,USA,Oregon,Surfing,41,N,M,Oct
2011.10.19,19-Oct-2011,2011,Unprovoked,AUSTRALIA,Victoria,Diving,50,N,M,Oct
2011.10.09,09-Oct-2011,2011,Unprovoked,AUSTRALIA,Western Australia,Swimming,64,Y,M,Oct
2011.09.28.b,28-Sep-2011,2011,Provoked,DOMINICAN REPUBLIC,Samaná Province,Fishing,48,N,M,Sep
2011.09.28.a,28-Sep-2011,2011,Unprovoked,SOUTH AFRICA,Western Cape Province,Swimming,43,N,M,Sep
2011.09.24.b,24-Sep-2011,2011,Unprovoked,USA,Florida,Spearfishing,21,N,M,Sep
2011.09.19,19-Sep-2011,2011,Unprovoked,REUNION,Saint-Gilles,Body boarding,38,Y,M,Sep
2011.09.17,17-Sep-2011,2011,Unprovoked,KENYA,Coast Province,Swimming,17,Y,M,Sep
2011.09.16,16-Sep-2011,2011,Unprovoked,USA,Florida,Surfing,25,N,M,Sep
2011.09.11.b,11-Sep-2011,2011,Unprovoked,USA,California,Surfing,37,N,M,Sep
2011.09.11.a,11-Sep-2011,2011,Unprovoked,PAPUA NEW GUINEA,Central Province,Kite Surfing,30,N,M,Sep
2011.09.04.a,04-Sep-2011,2011,Unprovoked,AUSTRALIA,Western Australia,Body boarding,21,Y,M,Sep
2011.09.02,02-Sep-2011,2011,Unprovoked,USA,Florida,Surfing,19,N,M,Sep
2011.08.31,31-Aug-2011,2011,Unprovoked,USA,Florida,Surfing,19,N,M,Aug
2011.08.24.b,24-Aug-2011 ,2011,Unprovoked,USA,North Carolina,Surfing,21,N,M,Aug
2011.08.23,23-Aug-2011,2011,Unprovoked,SOUTH AFRICA,Western Cape Province,Surfing,49,Y,M,Aug
2011.08.18,18-Aug-2011,2011,Unprovoked,RUSSIA,"Peter the Great Bay, Khasan, Primorsky Krai (Far East)",Swimming,16,N,M,Aug
2011.08.17.a,17-Aug-2011,2011,Unprovoked,RUSSIA,"Telyakovsky Bay, Khasan,  Primorsky Krai (Far East)",Swimming,25,N,M,Aug
2011.08.16.c,16-Aug-2011,2011,Unprovoked,FRENCH POLYNESIA,Society Islands,Surfing,32,N,M,Aug
2011.08.11,11-Aug--2011,2011,Unprovoked,USA,North Carolina,Swimming,54,N,M,Aug
2011.08.01,01-Aug-2011,2011,Unprovoked,SEYCHELLES,Praslin,Diving,36,Y,M,Aug
2011.07.30,30-Jul-2011,2011,Sea Disaster,PHILIPPINES,unknown,Sea disaster,43,N,M,Jul
2011.07.22,22-Jul-2011,2011,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,29,N,M,Jul
2011.07.13.a,13-Jul-2011,2011,Unprovoked,BAHAMAS,Grand Bahama Island,Scuba diving,54,N,M,Jul
2011.07.07.b,07-Jul-2011,2011,Unprovoked,USA,Texas,Swimming,12,N,M,Jul
2011.07.06,06-Jul-2011,2011,Unprovoked,REUNION,Saint-Gilles,Surfing,16,N,M,Jul
2011.07.05,05-Jul-2011,2011,Unprovoked,COLUMBIA,Sucre,Kayaking,17,N,M,Jul
2011.06.30,30-Jun-2011,2011,Unprovoked,TURKS & CAICOS,Middle Caicos,Snorkeling,28,N,M,Jun
2011.06.29,29-Jun-2011,2011,Unprovoked,BRAZIL,Pernambuco,Surfing,21,N,M,Jun
2011.06.28,28-Jun-2011,2011,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Scuba diving,22,N,M,Jun
2011.06.19.b,19-Jun-2011,2011,Unprovoked,TURKS & CAICOS,Caicos Bank,Spearfishing,35,N,M,Jun
2011.06.19.a,19-Jun-2011,2011,Unprovoked,COSTA RICA,Guanacaste,Surfing,15,Y,M,Jun
2011.06.15,15-Jun-2011,2011,Unprovoked,REUNION,Saint-Gilles-les-Bains,Boogie Boarding,31,Y,M,Jun
2011.06.12,12-Jun-2011,2011,Unprovoked,USA,Florida,Scuba diving,28,N,M,Jun
2011.06.06.R,Reported 06-Jun-2011,2011,Unprovoked,COLUMBIA,San Andrés archipelago,Spearfishing,24,N,M,Jun
2011.06.06.b,06-Jun-2011,2011,Unprovoked,USA,California,Spearfishing,28,N,M,Jun
2011.06.06.a,06-Jun-2011,2011,Unprovoked,USA,Florida,Wading,19,N,M,Jun
2011.05.29,29-May-2011,2011,Unprovoked,SOUTH AFRICA,Western Cape Province,Surfing,33,N,M,May
2011.05.21.b,21-May-2011,2011,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Spearfishing,28,Y,M,May
2011.05.13.b,13-May-2011,2011,Unprovoked,USA,Florida,Body surfing,86,N,M,May
2011.05.13.a,13-May-2011,2011,Unprovoked,USA,Florida,Surfing,37,N,M,May
2011.05.04,04-May-2011,2011,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Spearfishing,37,N,M,May
2011.04.26,26-Apr-2011,2011,Unprovoked,USA,Florida,Spearfishing,32,N,M,Apr
2011.04.22,22-Apr-2011,2011,Unprovoked,USA,Florida,Surfing ,49,N,M,Apr
2011.04.16,16-Apr-2011,2011,Unprovoked,NEW ZEALAND,South Island,Surfing,41,N,M,Apr
2011.04.08,08-Apr-2011,2011,Unprovoked,FIJI,Vitu Levu,Diving,27,N,M,Apr
2011.03.23,23-Mar-2011,2011,Unprovoked,AUSTRALIA,New South Wales,Surfing,48,N,M,Mar
2011.03.21.b,21-Mar-2011,2011,Unprovoked,MEXICO,Quintana Roo,Swimming,46,N,M,Mar
2011.02.28.R,Reported 28-Feb-2011,2011,Provoked,AUSTRALIA,Queensland,Fishing,36,N,M,Feb
2011.02.23,23-Feb-2011,2011,Unprovoked,NEW CALEDONIA, Loyalty Islands,Spearfishing,21,N,M,Feb
2011.02.19,18-Feb-2011,2011,Unprovoked,REUNION,Saint Gilles ,Surfing,32,N,M,Feb
2011.02.17,17-Feb-2011,2011,Unprovoked,AUSTRALIA,South Australia,Diving for abalone,49,Y,M,Feb
2011.02.12,12-Feb-2011,2011,Unprovoked,AUSTRALIA,Western Australia,Snorkeling,58,N,M,Feb
2011.02.02,02-Feb-2011,2011,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surf fishing,37,N,M,Feb
2011.01.31,31-Jan-2011,2011,Unprovoked,MEXICO,Quintana Roo,Swimming,38,N,F,Jan
2011.01.26,26-Jan-2011,2011,Unprovoked,BAHAMAS,West End,Scuba diving,55,N,M,Jan
2011.01.15,15-Jan-2011,2011,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,16,Y,M,Jan
2010.12.26,26-Dec-2010,2010,Unprovoked,USA,Hawaii,Body boarding,16,N,M,Dec
2010.12.11,11-Dec-2010,2010,Unprovoked,USA,Hawaii,Surfing,46,N,M,Dec
2010.12.05,05-Dec-2010,2010,Unprovoked,EGYPT,South Sinai Peninsula,Snorkeling,70,Y,F,Dec
2010.12.01.b,01-Dec-2010,2010,Unprovoked,EGYPT,South Sinai Peninsula,Snorkeling,54,N,M,Dec
2010.12.01.a,01-Dec-2010,2010,Unprovoked,EGYPT,South Sinai Peninsula,Snorkeling,46,N,M,Dec
2010.11.30.b,30-Nov-2010,2010,Unprovoked,EGYPT,South Sinai Peninsula,Snorkeling,70,N,F,Nov
2010.11.30.a,30-Nov-2010,2010,Unprovoked,EGYPT,South Sinai Peninsula,Snorkeling,48,N,F,Nov
2010.11.27.R,Reported 27-Nov-2010,2010,Unprovoked,SAMOA,unknown,Fishing,47,N,M,Nov
